task_id,type,example_id,arxiv_id,kind,categories,prompt,answer
0808.2662#5:paper-subarea:1,paper-subarea,0808.2662#5,0808.2662,theorem,communication-complexity; query-complexity,"There exists a family of functions \[{G_i: {0, 1}^ 4^i → {0, 1} }_ i ∈ N quad such that \] G_i and overline G_i each have uDNF representations in which each clause has size at most s_i = 3^i ; D(G_i) ≥ frac 4^i + 2 3 = Ω (s_i^ γ ) , where γ = log _3 (4) > 1 .

[MASK]",communication-complexity; query-complexity
0808.2662#6:paper-subarea:2,paper-subarea,0808.2662#6,0808.2662,theorem,communication-complexity; query-complexity,"There exists a family of TUSPs {W_N ⊂ {0, 1, *}^ m(N) }_ N = 1 ^ ∞ on m(N) = O( poly (N)) input bits, and a constant α > 0 , such that D(W_N) ≥ s(W_N)^ 1+ α , while s(W_N) ≥ N .

[MASK]",communication-complexity; query-complexity
0808.2662#12:bound-cloze:2,bound-cloze,0808.2662#12,0808.2662,claim,communication-complexity; query-complexity,"For sufficiently large N > 0 , there exists a (lfloor s_[MASK] rfloor , D_N^2, lfloor frac 1 2 s_N^ 1 + α / 2 rfloor ) -wERF J .",N^ 1 + α / 2
0904.2759#1:bound-cloze:1,bound-cloze,0904.2759#1,0904.2759,theorem,quantum-complexity; query-complexity,"Fix a function f : {0,1}^n → {0,1} . For k ∈ bf N , define f^k : {0,1}^ n^k → {0,1} as follows: f^1 = f and f^k(x) = f (f^ k-1 (x_1, ... , x_ n^ k-1 ), ... , f^ k-1 (x_ n^k-n^ k-1 +1 , ... , x_ n^k ) ) for k > 1 . If span program P computes f , then Q(f^k) = [MASK] enspace , where Q(f^k) is the bounded-error quantum query complexity of f^k .",O( wsize ( P ) ^k)
0904.2759#1:paper-subarea:1,paper-subarea,0904.2759#1,0904.2759,theorem,quantum-complexity; query-complexity,"Fix a function f : {0,1}^n → {0,1} . For k ∈ bf N , define f^k : {0,1}^ n^k → {0,1} as follows: f^1 = f and f^k(x) = f (f^ k-1 (x_1, ... , x_ n^ k-1 ), ... , f^ k-1 (x_ n^k-n^ k-1 +1 , ... , x_ n^k ) ) for k > 1 . If span program P computes f , then Q(f^k) = O( wsize ( P ) ^k) enspace , where Q(f^k) is the bounded-error quantum query complexity of f^k .

[MASK]",quantum-complexity; query-complexity
0904.2759#4:paper-subarea:2,paper-subarea,0904.2759#4,0904.2759,theorem,quantum-complexity; query-complexity,"For any function f : {0,1}^n → {0,1} , the quantum query complexity of f satisfies Q(f) = Ω(ADVpm (f)) quad and quad Q(f) = O g(ADVpm (f) frac log ADVpm (f) log log ADVpm (f) g) enspace .

[MASK]",quantum-complexity; query-complexity
0904.2759#10:paper-subarea:3,paper-subarea,0904.2759#10,0904.2759,theorem,quantum-complexity; query-complexity,"For any function f : D → E , with D ⊆ C^n , the ε -bounded-error quantum query complexity of f is lower-bounded as Q_ε(f) & ≥ frac 1 - 2 sqrt ε(1-ε) 2 ADV (f) Q_ε(f) & ≥ frac 1 - 2 sqrt ε(1-ε) - 2 ε 2 ADVpm (f) enspace . In particular, Q(f) = Ω(ADVpm (f)) . Moreover, if D = {0,1} , then Q_ε(f) ≥ frac 1 - 2 sqrt ε(1-ε) 2 ADVpm (f) enspace .

[MASK]",quantum-complexity; query-complexity
0904.2759#13:paper-subarea:4,paper-subarea,0904.2759#13,0904.2759,theorem,quantum-complexity; query-complexity,"Consider a quantum query algorithm A that evaluates f: {0,1}^n → {0,1} , with bounded one-sided error on false inputs, using q queries. Then there exists a span program P computing f_P = f , with wsize ( P ) = O(q) enspace . In particular, inf _ P : f_P = f wsize ( P ) = O(Q^1(f)) .

[MASK]",quantum-complexity; query-complexity
0904.2759#19:bound-cloze:2,bound-cloze,0904.2759#19,0904.2759,definition,quantum-complexity; query-complexity,"The tensor-product-composed span program Q^ ⊗ is defined by: The inner product space is V^ ⊗ = V ⊗ otimes_ j ∈ [n], c ∈ B V^ jc . The target vector is |t^ ⊗ rangle = |trangle _V ⊗ otimes_ j ∈ [n], c ∈ B |[MASK] rangle _ V^ jc . The free input vectors are indexed by I_ free ^ ⊗ = I_ free sqcup sqcup_ j ∈ [n], c ∈ B (I_ jc × I_ free ^ jc ) with, for i ∈ I_ free ^ ⊗ , |v^ ⊗ _irangle = |v_irangle _V ⊗ otimes_ j ∈ [n], c ∈ B |t^ jc rangle _ V^ jc & if i ∈ I_ free |v_ i' rangle _V ⊗ |v_ i'' rangle _ V^ jc ⊗ otimes_ substack j' ∈ [n], c' ∈ B : (j',c') ≠ (j,c) |t^ j'c' rangle _ V^ j'c' & if i = (i', i'') ∈ I_ jc × I_ free ^ jc The other input vectors are indexed by I^ ⊗ _ kb = sqcup _ j ∈ [n], c ∈ B (I_ jc × I^ jc _ kb ) for k ∈ [m] , b ∈ B . For i ∈ I_ jc , i' ∈ I^ jc _ kb , let |v^ ⊗ _ ii' rangle = |v_irangle _V ⊗ |v_ i' rangle _ V^ jc ⊗ otimes_ substack j' ∈ [n], c' ∈ B : (j',c') ≠ (j,c) |t^ j'c' rangle _ V^ j'c' enspace .",t^ jc
0904.2759#20:bound-cloze:3,bound-cloze,0904.2759#20,0904.2759,definition,quantum-complexity; query-complexity,"The direct-sum-composed span program Q^ ⊕ is defined by: The inner product space is V^ ⊕ = V ⊕ oplus_ j ∈ [n], c ∈ B ( bf C ^ I_ jc ⊗ V^ jc ) . Any vector in V^ ⊕ can be uniquely expressed as |urangle _V + Σ _ i ∈ I smallsetminus I_ free |irangle ⊗ |u_irangle , where |urangle ∈ V and |u_irangle ∈ V^ varsigma (i) . The target vector is |t^ ⊕ rangle = |trangle _V . The free input vectors are indexed by I_ free ^ ⊕ = I sqcup sqcup_ j ∈ [n], c ∈ B (I_ jc × I_ free ^ jc ) with, for i ∈ I_ free ^ ⊕ , |v^ ⊕ _irangle = |v_irangle _V & if i ∈ I_ free |v_irangle _V - |irangle ⊗ |[MASK] rangle & if i ∈ I_ jc |i'rangle ⊗ |v_ i'' rangle & if i = (i', i'') ∈ I_ jc × I_ free ^ jc The other input vectors are indexed by I^ ⊕ _ kb = sqcup _ j ∈ [n], c ∈ B (I_ jc × I^ jc _ kb ) for k ∈ [m] , b ∈ B . For i ∈ I_ jc , i' ∈ I^ jc _ kb , let |v^ ⊕ _ ii' rangle = |irangle ⊗ |v_ i' rangle enspace .",t^ jc
0904.2759#21:bound-cloze:4,bound-cloze,0904.2759#21,0904.2759,definition,quantum-complexity; query-complexity,"The tensor-product-composed span program, reduced with respect to the basis { |lrangle : l ∈ [d] } , is Q^ r ⊗ , defined by: For l ∈ [d] , let Z_l = { (j, c) ∈ [n] × B : ∀ i ∈ I_ jc , lel|v_irangle = 0 } , and let π_l = Π _ (j,c) ∈ Z_l | |[MASK] rangle | . The inner product space of Q^ r ⊗ is V^ r ⊗ = oplus_ l ∈ [d] ( otimes_ (j,c) ∉ Z_l V^ jc ) . Any vector |vrangle ∈ V^ r ⊗ can be uniquely expressed as Σ _ l ∈ [d] |lrangle ⊗ |v_lrangle , where |v_lrangle ∈ otimes_ (j,c) ∉ Z_l V^ jc . The target vector is |t^ r ⊗ rangle = Σ _ l ∈ [d] lel|trangle |lrangle π_l ⊗ otimes_ (j,c) ∉ Z_l |t^ jc rangle _ V^ jc enspace . The free input vectors are indexed by I_ free ^ r ⊗ = I_ free ^ ⊗ = I_ free sqcup sqcup_ j ∈ [n], c ∈ B (I_ jc × I_ free ^ jc ) with, for i ∈ I_ free ^ r ⊗ , |v^ r ⊗ _irangle = Σ _ l ∈ [d] lel|v_irangle |lrangle π_l ⊗ otimes_ (j,c) ∉ Z_l |t^ jc rangle _ V^ jc & if i ∈ I_ free Σ _ l ∈ [d] lel|v_ i' rangle |lrangle π_l ⊗ |v_ i'' rangle _ V^ jc ⊗ otimes_ substack (j',c') ∉ Z_l : (j',c') ≠ (j,c) |t^ j'c' rangle _ V^ j'c' & if i = (i', i'') ∈ I_ jc × I_ free ^ jc The other input vectors are indexed by I^ r ⊗ _ kb = I^ ⊗ _ kb = sqcup _ j ∈ [n], c ∈ B (I_ jc × I^ jc _ kb ) for k ∈ [m] , b ∈ B . For i ∈ I_ jc , i' ∈ I^ jc _ kb , let |v^ r ⊗ _ ii' rangle = Σ _ l ∈ [d] lel|v_irangle |lrangle π_l ⊗ |v_ i' rangle _ V^ jc ⊗ otimes_ substack (j',c') ∉ Z_l : (j', c') ≠ (j,c) |t^ j'c' rangle _ V^ j'c' enspace .",t^ jc
0910.5765#1:bound-cloze:1,bound-cloze,0910.5765#1,0910.5765,theorem,hardness-of-approximation,"For all positive semidefinite matrices A ∈ R ^ m × m we have 1 ≥ frac SDP _n(A) SDP _ ∞ (A) ≥ γ(n) = frac 2 n (frac Γ((n+1)/2) Γ(n/2) )^2 = 1 - [MASK], and there is a randomized polynomial-time approximation algorithm for SDP _n achieving this ratio.",Θ(1/n)
0910.5765#1:paper-subarea:1,paper-subarea,0910.5765#1,0910.5765,theorem,hardness-of-approximation,"For all positive semidefinite matrices A ∈ R ^ m × m we have 1 ≥ frac SDP _n(A) SDP _ ∞ (A) ≥ γ(n) = frac 2 n (frac Γ((n+1)/2) Γ(n/2) )^2 = 1 - Θ(1/n), and there is a randomized polynomial-time approximation algorithm for SDP _n achieving this ratio.

[MASK]",hardness-of-approximation
0910.5765#3:paper-subarea:2,paper-subarea,0910.5765#3,0910.5765,theorem,hardness-of-approximation,"Under the assumption of the unique games conjecture there is no polynomial-time algorithm which approximates SDP _n with an approximation ratio greater than γ(n) + ε for any positive ε which is independent of the matrix size m .

[MASK]",hardness-of-approximation
1004.0411#1:bound-cloze:1,bound-cloze,1004.0411#1,1004.0411,lemma,interactive-proofs; quantum-complexity,"For any choice of ε > 0 , taking N ≥ [MASK] /ε^3 will guarantee that with probability at least 1 - ε , the estimate H satisfies lVert mspace 1mu ρ - Hmspace 1mu rVert _1 < ε .",2^ 10k
1004.0411#2:bound-cloze:2,bound-cloze,1004.0411#2,1004.0411,theorem,interactive-proofs; quantum-complexity,"(Finite quantum de Finetti theorem ) Suppose that ρ_ N+m is a symmetric state over registers ( Q _1, ... , Q _ N+m ) , and let ρ_N = Tr _ Q _ N+1 ... Q _ N+m (ρ_ N+m ) . Then there exist states ξ_j and probability vector p_j such that \[ lVert mspace 1mu ρ_N - Σ _ j p_j ξ_j^ ⊗ N mspace 1mu rVert _1 ≤ frac N N+m [MASK] . \]",2^ k+1
1004.0411#2:paper-subarea:1,paper-subarea,1004.0411#2,1004.0411,theorem,interactive-proofs; quantum-complexity,"(Finite quantum de Finetti theorem ) Suppose that ρ_ N+m is a symmetric state over registers ( Q _1, ... , Q _ N+m ) , and let ρ_N = Tr _ Q _ N+1 ... Q _ N+m (ρ_ N+m ) . Then there exist states ξ_j and probability vector p_j such that \[ lVert mspace 1mu ρ_N - Σ _ j p_j ξ_j^ ⊗ N mspace 1mu rVert _1 ≤ frac N N+m 2^ k+1 . \]

[MASK]",interactive-proofs; quantum-complexity
1004.0411#3:paper-subarea:2,paper-subarea,1004.0411#3,1004.0411,theorem,interactive-proofs; quantum-complexity,"Let a,b: N → (0,1) be polynomial-time computable functions such that a(n) - b(n) ≥ 1/p(n) for some polynomial p . Then up QIP ([ log , poly ],a,b) = up QMA .

[MASK]",interactive-proofs; quantum-complexity
1004.0411#4:paper-subarea:3,paper-subarea,1004.0411#4,1004.0411,theorem,interactive-proofs; quantum-complexity,"Let a,b: N → (0,1) be polynomial-time computable functions such that a(n) - b(n) ≥ 1/p(n) for some polynomial p . Then up QIP _ log (a,b) = up BQP .

[MASK]",interactive-proofs; quantum-complexity
1004.0411#5:paper-subarea:4,paper-subarea,1004.0411#5,1004.0411,theorem,interactive-proofs; quantum-complexity,"Let a,b: N → (0,1) be polynomial-time computable functions such that a(n) - b(n) ≥ 1/p(n) for some polynomial-bounded function p . Then up QAM ([ poly , log ],a,b) = up BQP .

[MASK]",interactive-proofs; quantum-complexity
1005.0644#1:paper-subarea:1,paper-subarea,1005.0644#1,1005.0644,theorem,communication-complexity; query-complexity,"Suppose f is a Boolean function and μ is a distribution over inputs to f , such that any T -query randomized algorithm has success probability at most (1 - ε) in computing f on an input from μ . Then for 0 < α ≤ 1 , any randomized algorithm making α ε T k queries has success probability at most (2^ α ε (1 - ε) )^k < (1 - ε + .84αε)^k in computing f^ ⊗ k correctly on k inputs drawn independently from μ .

[MASK]",communication-complexity; query-complexity
1005.0644#7:paper-subarea:2,paper-subarea,1005.0644#7,1005.0644,theorem,communication-complexity; query-complexity,"Let f be a Boolean function for which Suc _ T, μ (f) ≤ 1 - ε . Then for 0 < α ≤ 1 , Suc _ α ε T k, μ^ ⊗ k (f^ ⊗ k ) ≤ (2^ α ε (1 - ε))^k < (1 - ε + .84αε)^k .

[MASK]",communication-complexity; query-complexity
1005.0644#13:paper-subarea:3,paper-subarea,1005.0644#13,1005.0644,theorem,communication-complexity; query-complexity,"Fix a finite set B , and let P ⊆ {0, 1}^n × B be a total relation for which rm Suc _ T, μ ^ rel (P) ≤ 1 - ε it . Fixing any randomized algorithm R making queries to inputs x = ( x ^1, ... , x ^k) μ^ ⊗ k and producing output in B^k , define the (random) set \[S[ x ] \ := \ {j ∈ [k]: ( x ^j, R _j( x )) ∈ P}.\] Suppose R is α ε Tk -query-bounded for some α ∈ (0, 1] , and A is any monotone subset of P ([k]) . Then: Pr [S[ x ] ∈ A ] ≤ |B|^ α ε k · Pr [D ∈ A ] , where D ⊆ [k] is generated by independently including each j ∈ [k] in D with probability 1 - ε . Also, for D as above, Pr [S[ x ] ∈ A ] ≤ Pr [D ∈ N_ α ε k ( A )] .

[MASK]",communication-complexity; query-complexity
1005.0644#19:paper-subarea:4,paper-subarea,1005.0644#19,1005.0644,theorem,communication-complexity; query-complexity,"Suppose the search problem V satisfies Suc _ T, μ (V) ≤ 1 - ε . Then for any α ∈ (0, 1] and any monotone A ⊆ P ([k]) , \[ Suc _ α ε T k, μ^ ⊗ k (V^ k, A ) \ ≤ \ Pr [D ∈ N_ α ε k ( A )], \] where each j ∈ [k] is independently included in D with probability 1 - ε .

[MASK]",communication-complexity; query-complexity
1005.0644#27:bound-cloze:1,bound-cloze,1005.0644#27,1005.0644,theorem,communication-complexity; query-complexity,"Let f be a Boolean function. Suppose Suc _ T, μ ^ size (f) ≤ 1 - ε . Then for 0 < α ≤ 1 , Suc _ T^ α ε k , μ^ ⊗ k ^ size (f^ ⊗ k ) ≤ [MASK] (1 - ε)^k .",2^ α ε k
1009.5104#5:paper-subarea:1,paper-subarea,1009.5104#5,1009.5104,theorem,meta-complexity; structural,"[Sampling/Searching Equivalence Theorem] Let S \ be any sampling problem. \ Then there exists a search problem R_ S \ such that If O \ is any oracle for S , then R_ S ∈ FBPP ^ O . If B is any probabilistic Turing machine solving R_ S , then S ∈ SampP ^ B .

[MASK]",meta-complexity; structural
1009.5104#6:paper-subarea:2,paper-subarea,1009.5104#6,1009.5104,theorem,meta-complexity; structural,"FBPP = FBQP if and only if SampP = SampBQP . \ In other words, classical computers can efficiently solve every FBQP search problem, if and only if they can approximately sample the output distribution of every quantum circuit.

[MASK]",meta-complexity; structural
1009.5104#8:paper-subarea:3,paper-subarea,1009.5104#8,1009.5104,theorem,meta-complexity; structural,"[Aaronson and Arkhipov ] SampP = SampBQP implies vert sc GPE vert ^ 2 ∈ FBPP ^ NP .

[MASK]",meta-complexity; structural
1009.5104#10:paper-subarea:4,paper-subarea,1009.5104#10,1009.5104,corollary,meta-complexity; structural,"FBPP = FBQP \ implies vert sc GPE vert ^ 2 ∈ FBPP ^ NP . \ So in particular, assuming vert sc GPE vert ^ 2 \ is \#P -complete\ and PH \ is infinite, it follows that FBPP ≠ FBQP .

[MASK]",meta-complexity; structural
1009.5104#22:bound-cloze:1,bound-cloze,1009.5104#22,1009.5104,theorem,meta-complexity; structural,"Let S \ be any sampling problem, and let f be a time-constructible function. \ Then there exists a search problem R_ S = ( A_ x ) _ x \ such that If O \ is any oracle solving S , then R_ S ∈ FBPP ^ O . If B is any BPTIME ( f ( n ) ) Turing machine solving R_ S , then S ∈ SampP ^ B . There exists a SPACE ( f ( n ) +[MASK] ) \ algorithm to decide whether y ∈ A_ x , given x \ and y .",n^ O ( 1 )
1011.2787#3:paper-subarea:1,paper-subarea,1011.2787#3,1011.2787,theorem,interactive-proofs; quantum-complexity,"There is a parallel oracle-algorithm for Problem (Approximation of λ( A , P ) ) with run time bounded by a polynomial in k , 1/δ , and log (mn) . This algorithm is efficient if k,1/δ are promised to scale as a polynomial in log (mn) .

[MASK]",interactive-proofs; quantum-complexity
1011.2787#7:paper-subarea:2,paper-subarea,1011.2787#7,1011.2787,corollary,interactive-proofs; quantum-complexity,"\( QIP = PSPACE \) via direct polynomial-space simulation of multi-message quantum interactive proofs.

[MASK]",interactive-proofs; quantum-complexity
1011.2787#11:paper-subarea:3,paper-subarea,1011.2787#11,1011.2787,theorem,interactive-proofs; quantum-complexity,"For any ε>0 it holds that \( λ( A , P ) ≥ μ_ε( A , P ) > λ( A , P )-ε. \)

[MASK]",interactive-proofs; quantum-complexity
1102.2280#1:bound-cloze:1,bound-cloze,1102.2280#1,1102.2280,theorem,total-search,Finding a [MASK] -Nash equilibrium in 10 -sparse normalized bimatrix games with n strategies per player is a PPAD-complete problem.,O(n^ -6 )
1102.2280#1:paper-subarea:1,paper-subarea,1102.2280#1,1102.2280,theorem,total-search,"Finding a O(n^ -6 ) -Nash equilibrium in 10 -sparse normalized bimatrix games with n strategies per player is a PPAD-complete problem.

[MASK]",total-search
1102.2280#2:paper-subarea:2,paper-subarea,1102.2280#2,1102.2280,theorem,total-search,"For any k , there is a PTAS for the Nash equilibrium problem in k -sparse bimatrix games.

[MASK]",total-search
1102.2280#4:paper-subarea:3,paper-subarea,1102.2280#4,1102.2280,theorem,total-search,"For any δ ∈ (0, 1] , there is a randomized PTAS for normalized bimatrix games of δ -small probabilities.

[MASK]",total-search
1102.2280#8:paper-subarea:4,paper-subarea,1102.2280#8,1102.2280,theorem,total-search,"There is no oblivious PTAS for the Nash equilibrium in bimatrix games.

[MASK]",total-search
1102.2280#11:bound-cloze:2,bound-cloze,1102.2280#11,1102.2280,theorem,total-search,"For any constant c ≥ 0 , ε <1 , no oblivious ε -approximation algorithm for anonymous games with 2 strategies and 3 player types has probability of success larger than [MASK] · 2^ -Ω(1 / ε^ 1/3 ) .",n^ -c
1102.2280#13:bound-cloze:3,bound-cloze,1102.2280#13,1102.2280,theorem,total-search,"Let P :=(p_i )_ i=1 ^n ∈ (0,1/2]^n and Q :=(q_i)_ i=1 ^n ∈ (0,1/2]^n be two collections of probability values in (0,1/2] . Let also X :=(X_i)_ i=1 ^n and Y :=(Y_i)_ i=1 ^n be two collections of independent indicators with E [X_i]=p_i and E [Y_i]=q_i , for all i ∈ [n] . If for some d ∈ [n] the following condition is satisfied: (C_d): Σ _ i=1 ^n p_i^ ell = Σ _ i=1 ^n q_i^ ell , for all ell =1, ... ,d, then | | Σ _ i X_i ; Σ _ i Y_i | | ≤ 20(d+1)^ 1/4 [MASK] .",2^ -(d+1)/2
1102.2280#14:bound-cloze:4,bound-cloze,1102.2280#14,1102.2280,theorem,total-search,"sc Moment Search is a PTAS for n -player 2 -strategy anonymous games with running time U · rm poly (n) · (1/ε)^ [MASK] , where U is the number of bits required to represent a payoff value of the game. The algorithm generalizes to a constant number of player types with the number of types multiplying the exponent of the running time.",O( log ^2 (1/ε))
1110.1821#1:paper-subarea:1,paper-subarea,1110.1821#1,1110.1821,theorem,structural,"For any constant k > 2 , computing Ferm _k for the adjacency matrix of a planar graph is \#P-hard under Turing reductions.

[MASK]",structural
1110.1821#2:paper-subarea:2,paper-subarea,1110.1821#2,1110.1821,theorem,structural,"Computing Ferm _2 for the adjacency matrix of a planar graph is ⊕ P -hard.

[MASK]",structural
1110.1821#3:paper-subarea:3,paper-subarea,1110.1821#3,1110.1821,corollary,structural,"For any constant integer k , the problem of computing the immanant Imm _λ A as a function of A and λ is \#P-hard under Turing reductions if k ≥ 3 , and ⊕ P -hard if k=2 , even if λ is restricted to Young diagrams with width k or less.

[MASK]",structural
1110.1821#5:paper-subarea:4,paper-subarea,1110.1821#5,1110.1821,theorem,structural,"For any fixed z > 1 , computing j(G;z) from G is \#P -hard under Turing reductions.

[MASK]",structural
1204.1505#2:paper-subarea:1,paper-subarea,1204.1505#2,1204.1505,theorem,communication-complexity; quantum-complexity,"There exists a function f , s.t. for all ε ∈ (0, tfrac 1 2 ), Q(f,ε) = O( log ( IC (f,ε))) .

[MASK]",communication-complexity; quantum-complexity
1204.1505#4:paper-subarea:2,paper-subarea,1204.1505#4,1204.1505,corollary,communication-complexity; quantum-complexity,"For any ε, μ and any f : I → Z , if D^μ_ ε (f) = O( log bar prt ^μ_ ε (f)) , then for all δ > 0 and integers k , it holds that D^ μ^k _ε(f) ≥ Ω (k · δ^2 (D^μ_ ε+3δ (f) - log | Z |) - kδ) ) .

[MASK]",communication-complexity; quantum-complexity
1204.1505#14:bound-cloze:1,bound-cloze,1204.1505#14,1204.1505,claim,communication-complexity; quantum-complexity,"The probability of the above events are bounded as follows: The inputs rarely have large divergence: mathop Pr _ (X,Y) μ [B_D] ≤ δ/4 . For all (x, y) , the hash function rarely has a collision: mathop Pr _ r_ π' [B_C] ≤ frac δ 16 · [MASK] . For all (x, y) ∉ B_D , the probability of outputting something is not too small: mathop Pr _ r_ π' [H] ≥ (1-frac 11δ 16 )2^ -(k+Δ) . For all (x, y) the probability of outputting something is not too large: mathop Pr _ r_ π' [H] ≤ (1 + tfrac δ 16 )2^ -(k+Δ) . For all protocols π , input distributions μ and δ > 0 , the protocol π' in autoref alg:compressed satisfies: For all (x, y) ∉ B_D , let Π'_ x,y,H be the distribution of π'(x, y) conditioned on H (namely, on π'(x, y) ≠ bot ). Then | Π_ x,y - Π'_ x,y,H | ≤ 3δ / 4 .",2^ -(k+Δ)
1204.1505#16:bound-cloze:2,bound-cloze,1204.1505#16,1204.1505,lemma,communication-complexity; quantum-complexity,"There exist universal constants C and γ such that for any ε , \[bar prt _ε(widetilde VSP _ θ,n ) ≥ frac 1 C (0.8-2.8ε)exp (γ [MASK] ).\]",n^ 1/3
1204.1505#17:bound-cloze:3,bound-cloze,1204.1505#17,1204.1505,lemma,communication-complexity; quantum-complexity,"Let f= VSP _ 0,n , X and Y denote Alice and Bob's input sets for f , σ be the uniform distribution over X × Y and σ_b be the uniform distribution over f^ -1 (b) . There exist universal constants C and γ such that, for any rectangle R and any b ∈ {0, 1} , we have: σ_b(R ∩ f^ -1 (b)) ≥ 0.8σ(R)-Cexp (-γ [MASK] ).",n^ 1/3
1204.1505#19:paper-subarea:3,paper-subarea,1204.1505#19,1204.1505,theorem,communication-complexity; quantum-complexity,"For any function f with output set Z = {-1, 1} , and ε, δ, β>0 if a distribution on the inputs μ is such that μ(R) > β ⇒ μ(R ∩ f^ -1 (1))>δ μ(R ∩ f^ -1 (-1)) then 2^ R_ε(f) ≥ frac 1 β (μ(f^ -1 (-1)) - frac ε δ ).

[MASK]",communication-complexity; quantum-complexity
1204.1505#20:bound-cloze:4,bound-cloze,1204.1505#20,1204.1505,lemma,communication-complexity; quantum-complexity,"Let f denote the Gap Orthogonality Problem. For a small enough constant δ<1 and for the uniform distribution μ on inputs, and any rectangle R such that μ(R) > [MASK] , μ(R ∩ f^ -1 (1))>δ μ(R) . Furthermore, μ(f^ -1 (-1))=Θ(1) .",2^ -δ n
