paper_id,arxiv_id,title,year,venue_short,categories,status,n_examples,source_chars,classes_used,problems_used,hypotheses_used
arxiv:1005.1601,1005.1601,Reflections for quantum query algorithms,2010,,quantum-complexity; query-complexity,ok,12,44478,E:16,Collision/Element Distinctness:2; Factoring/Discrete Log:1; Search/Grover:3,
doi:10.4086/toc.2011.v007a002,1007.2899,Inverting a permutation is as hard as unordered search,2010,,quantum-complexity; query-complexity,ok,4,23053,BQP:2; NP:3,,
arxiv:1009.5104,1009.5104,The Equivalence of Sampling and Searching,2010,,meta-complexity; structural,ok,19,60205,BPP:4; BPP^NP:4; BPTIME:3; BQP:7; CH:2; EXP:1; FBPP:17; FBPP^PH:1; NP:2; NTIME:1; P:7; PH:3; PPAD:1; SampBPP:1; SampBQP:23; sharpP:5,Kolmogorov Complexity:29; Nash Equilibrium:3; Permanent:2,PH does not collapse:1
doi:10.1007/s00037-013-0065-9,1011.2787,Parallel approximation of min-max problems,2010,,interactive-proofs; quantum-complexity,ok,14,109069,EXP:3; IP:6; NC:13; P:110; PSPACE:31; QIP:20; XP:3,Majority:2; Matrix Multiplication:3,
doi:10.1109/focs.2011.75,1011.3020,Quantum query complexity of state conversion,2010,,quantum-complexity; query-complexity,ok,26,71139,,Graph Isomorphism:1,
arxiv:1102.2280,1102.2280,On Oblivious PTAS's for Nash Equilibrium,2011,,total-search,ok,30,131090,PPAD:7; PTAS:68,Max-Flow:3; Nash Equilibrium:96,
doi:10.4086/toc.2013.v009a006,1110.1821,"The complexity of the fermionant, and immanants of constant width",2011,,structural,ok,5,23286,BPP:2; NP:9; P:11; PP:1; RP:6; sharpP:23,3SAT:1; Determinant:4; Hamiltonian Path/Cycle:2; Parity:6; Permanent:3,
doi:10.1145/2213977.2213995,1111.0663,"On Identity Testing of Tensors, Low-rank Recovery and Compressed Sensing",2011,,algebraic-complexity; derandomization,ok,78,206350,AM:10; MA:5,Determinant:6; Error-Correcting Code:7; Hitting Set:119; Independent Set:1; Matrix Multiplication:1; PIT:41; Parity:10,P != NP:2
doi:10.1109/ccc.2012.42,1111.5247,The Complexity of the Separable Hamiltonian Problem,2011,,quantum-complexity,ok,22,57100,IP:1; MA:4; MIP:1; NEXP:1; NP:3; PSPACE:1; QMA:40,Local Hamiltonian:12; SAT:3,
doi:10.1007/978-3-642-31594-7_44,1112.5855,Improving Quantum Query Complexity of Boolean Matrix Multiplication Using Graph Collision,2011,,quantum-complexity; query-complexity,ok,7,32345,,APSP:1; Collision/Element Distinctness:9; Matrix Multiplication:36; Search/Grover:1,
doi:10.1109/focs.2012.68,1204.1505,Lower bounds on information complexity via zero-communication protocols and applications,2012,,communication-complexity; quantum-complexity,ok,22,77612,ACC:1,Gap-Hamming:7,
doi:10.1109/focs.2012.43,1204.4379,Computing Multiplicities of Lie Group Representations,2012,,algebraic-complexity,ok,12,63573,CH:2; GapP:1; NP:3; VNP:2; VP:2; sharpP:1,Determinant:2; Matrix Multiplication:2; Partition Function:7; Permanent:2,ETH:3; P != NP:1; Permanent vs Determinant:1
arxiv:1204.5508,1204.5508,Relativizing Small Complexity Classes and their Theories,2012,,structural,ok,37,137178,AC0:110; AC1:15; L:23; NC1:40; NC2:1; NL:30; NP:5; P:12; TC0:17; VNC:5,Circuit Evaluation:5,Random Oracle / Relativization:1
doi:10.1145/2213977.2214006,1205.4484,"Hypercontractivity, Sum-of-Squares Proofs, and their Applications",2012,,hardness-of-approximation; proof-complexity,ok,60,236532,AM:1; FP:1; NP:10; P:1; PTAS:2; XP:1,3SAT:9; Error-Correcting Code:1; Knapsack:2; Majority:2; SAT:1; Unique Games:51; Vertex Expansion/SSE:36,ETH:6; P != NP:1; Unique Games Conjecture:26
arxiv:1206.0717,1206.0717,How Low Can Approximate Degree and Quantum Query Complexity be for Total Boolean Functions?,2012,,quantum-complexity; query-complexity,ok,6,33196,,Majority:1; Parity:1; Search/Grover:1; Simon/Bernstein-Vazirani:3,
doi:10.1137/1.9781611973105.13,1207.0904,The complexity of detecting taut angle structures on triangulations,2012,,parameterized,ok,13,77923,NP:21; QP:3; UP:1; Wk:1,3SAT:1; CSP:1; SAT:10,
arxiv:1209.2408,1209.2408,Quasipolynomial-time Identity Testing of Non-Commutative and Read-Once Oblivious Algebraic Branching Programs,2012,,algebraic-complexity; circuit-complexity; derandomization,ok,45,130679,NC:4,Determinant:2; Hitting Set:61; Matrix Multiplication:1; Nisan-Wigderson:3; PIT:70; Permanent:2,
doi:10.1137/140971944,1210.1290,Stronger Methods of Making Quantum Interactive Proofs Perfectly Complete,2012,,interactive-proofs; quantum-complexity,ok,35,196121,BPP:1; MA:5; NP:5; P:15; PCP:2; PH:2; PP:3; PSPACE:4; QCMA:2; QIP:84; QMA:133; QMA1:18,3SAT:1; Local Hamiltonian:1; SAT:1,
doi:10.1109/ccc.2013.24,1211.6120,Two-message quantum interactive proofs and the quantum separability problem,2012,,interactive-proofs; quantum-complexity,ok,17,119012,BQP:2; NP:16; PH:1; PSPACE:1; QIP:72; QMA:7; QSZK:28,,
arxiv:1302.3308,1302.3308,Arithmetic Circuit Lower Bounds via MaxRank,2013,,algebraic-complexity; circuit-complexity,ok,34,65421,QP:2,Determinant:3; Matrix Multiplication:4; Permanent:3,
doi:10.1613/jair.4293,1303.1691,False-Name Manipulation in Weighted Voting Games is Hard for Probabilistic Polynomial Time,2013,,structural,ok,11,60887,NP:18; NP^PP:12; P:2; PH:1; PP:52; PPP:1; sharpP:19,3SAT:1; Knapsack:1; SAT:4,
doi:10.1007/s00037-015-0103-x,1304.6333,Unifying and generalizing known lower bounds via geometric complexity theory,2013,,algebraic-complexity; circuit-complexity,ok,26,122439,AC0:6; ACC0:2; EXP:2; MA:2; NEXP:2; NP:6; P:4; SIZE:3; VNP:1; VP:1; VQP:3; coRP:2,Collision/Element Distinctness:4; Determinant:13; Matrix Multiplication:19; Nisan-Wigderson:1; Parity:2; Permanent:15; Rigid Matrix:9; SAT:1; Sorting/Selection:2,P != NP:3; Permanent vs Determinant:9
doi:10.1137/140957299,1308.0776,Dynamic Approximate All-Pairs Shortest Paths: Breaking the O(mn) Barrier and Derandomization,2013,,derandomization; fine-grained,ok,62,276367,,APSP:76; Matrix Multiplication:6,
doi:10.4086/toc.2015.v011a003,1308.5788,Quantum interactive proofs and the complexity of separability testing,2013,,interactive-proofs; proof-complexity; quantum-complexity,ok,28,123799,BQP:27; IP:1; NL:1; NP:6; P:1; PSPACE:8; QIP:21; QMA:74; QSZK:32,Local Hamiltonian:1; Majority:3; SAT:4,
arxiv:1401.2199,1401.2199,Will boson-sampling ever disprove the Extended Church-Turing thesis?,2014,,structural,ok,0,15657,NP:5; P:5; sharpP:1,Permanent:1,P != NP:3
doi:10.1007/978-3-662-44465-8_4,1402.5078,A Tight Lower Bound on Certificate Complexity in Terms of Block Sensitivity and Sensitivity,2014,,query-complexity,ok,11,34209,NE:6,Equality:1; Pigeonhole:1; Sensitivity/Block Sensitivity:10,
arxiv:1403.4459,1403.4459,Conditions for an experimental Boson-sampling computer to disprove the Extended Church-Turing thesis,2014,,structural,ok,0,48592,MA:1; NP:2,Permanent:8,
arxiv:1405.0524,1405.0524,Computational Complexity of Approximate Nash Equilibrium in Large Games,2014,,query-complexity; total-search,ok,7,31806,BPP:1; NE:12; PPAD:10; PTAS:2,Nash Equilibrium:27,
arxiv:1405.2447,1405.2447,Reconfiguration over tree decompositions,2014,,descriptive-logic; parameterized,ok,32,76591,P:3; PSPACE:19,Independent Set:2; Vertex Cover:6; Word Problem:8,
doi:10.1007/978-3-319-17142-5_12,1406.0073,Size of Sets with Small Sensitivity: a Generalization of Simon's Lemma,2014,,query-complexity,ok,13,32977,,Sensitivity/Block Sensitivity:7,
doi:10.1007/s00224-014-9574-4,1406.3065,Lower Bounds for Tropical Circuits and Dynamic Programs,2014,,algebraic-complexity; circuit-complexity,ok,41,111686,IP:2,APSP:13; Hamiltonian Path/Cycle:1; Inner Product:1; Matching:1; Permanent:3; Reachability/STCON:13,
doi:10.2168/lmcs-10(3:5)2014,1406.7658,Reductions to the set of random strings: The resource-bounded case,2014,,meta-complexity,ok,25,70228,DTIME:1; P:10,Kolmogorov Complexity:22,P != NP:1
doi:10.1007/978-3-662-47672-7_50,1409.3182,Ground state connectivity of local Hamiltonians,2014,,quantum-complexity,ok,32,114892,BQP:1; MA:1; NEXP:22; NP:3; PSPACE:29; QCMA:61; QMA:8,3SAT:3; Error-Correcting Code:1; Graph Coloring:1; Local Hamiltonian:33; SAT:2; Vertex Cover:1,
arxiv:1409.6792,1409.6792,Commuting Quantum Circuits with Few Outputs are Unlikely to be Classically Simulatable,2014,,structural,ok,11,60816,Delta3P:1; IQP:5; P:4; PH:15,Search/Grover:4,PH does not collapse:2
arxiv:1411.3419,1411.3419,Tighter Relations Between Sensitivity and Other Complexity Measures,2014,,query-complexity,ok,19,40305,,Parity:1; Sensitivity/Block Sensitivity:25; Vertex Expansion/SSE:2,Sensitivity Conjecture:9
"doi:10.4086/toc.2020.v016a016,",1411.7747,A Characterization of hard-to-cover CSPs,2014,,hardness-of-approximation,ok,31,106455,DTIME:4; NP:23; P:3; PCP:1,3SAT:4; CSP:64; Graph Coloring:3; Independent Set:17; Label Cover:4; Parity:5; SAT:3; Unique Games:6,ETH:2; P != NP:2; Unique Games Conjecture:11
doi:10.4086/toc.2017.v013a015,1412.4413,Tight Hardness of the Non-commutative Grothendieck Problem,2014,,hardness-of-approximation,ok,24,73306,E:8; NC:6; NP:29,Label Cover:9; Majority:1; Matrix Multiplication:1; Max-Cut:2; Pigeonhole:1; Unique Games:3,Unique Games Conjecture:2
arxiv:1501.01598,1501.01598,Combinatorial Optimization Algorithms via Polymorphisms,2015,,descriptive-logic; hardness-of-approximation,ok,73,173371,L:1; L^P:1; NP:17; P:2,3SAT:3; CSP:77; Graph Isomorphism:1; Majority:9; Matrix Multiplication:1; SAT:2; TSP:2; Unique Games:23,P != NP:1; Unique Games Conjecture:12
arxiv:1503.00368,1503.00368,Phylogenetic incongruence through the lens of Monadic Second Order logic,2015,,descriptive-logic; parameterized,ok,12,61790,APX:2; FPT:22; NP:10,,
arxiv:1503.07691,1503.07691,Sensitivity versus Certificate Complexity of Boolean Functions,2015,,query-complexity,ok,22,52837,,Pigeonhole:2; Sensitivity/Block Sensitivity:19,Sensitivity Conjecture:3
doi:10.1109/focs.2015.67,1504.03398,An Average-Case Depth Hierarchy Theorem for Boolean Circuits,2015,,circuit-complexity; structural,ok,68,203845,AC0:12; E:19; NP:1; P:13; PH:9; PSPACE:9; P^NP:1; PiP:1; SigmaP:2; coNP:1,Majority:1; Parity:22,PH does not collapse:7; Random Oracle / Relativization:9
arxiv:1506.06399,1506.06399,Towards Better Separation between Deterministic and Randomized Query Complexity,2015,,query-complexity,ok,19,53023,RP:1; ZPP:1; coRP:1,Majority:1,
doi:10.4086/toc.2018.v014a011,1509.09180,How to Verify a Quantum Computation,2015,,interactive-proofs; quantum-complexity,ok,14,126870,P:89; PH:1,Quantum Circuit Sampling:1,
doi:10.4230/lipics.icalp.2016.16,1509.09271,Optimal quantum algorithm for polynomial interpolation,2015,,quantum-complexity; query-complexity,ok,15,63318,,Parity:2,
doi:10.1109/focs.2017.46,1510.02082,Local Hamiltonians Whose Ground States are Hard to Approximate,2015,,quantum-complexity,ok,57,145134,BH:6; DTIME:1; NP:4; PCP:5; QMA:1; QNC:34,Error-Correcting Code:6; Local Hamiltonian:15; Parity:6,
doi:10.4086/toc.2017.v013a018,1510.08417,Monotone Projection Lower Bounds from Extended Formulation Lower Bounds,2015,,algebraic-complexity; circuit-complexity,ok,17,43703,sharpP:4,Determinant:1; Hamiltonian Path/Cycle:18; Matching:19; Parity:1; Permanent:55; SAT:3; TSP:6,
doi:10.1145/2897518.2897644,1511.01937,Separations in query complexity using cheat sheets,2015,,quantum-complexity; query-complexity,ok,28,126094,,Collision/Element Distinctness:1; Forrelation:6; Search/Grover:12; Sensitivity/Block Sensitivity:6; Simon/Bernstein-Vazirani:2,
arxiv:1511.07860,1511.07860,Super-Linear Gate and Super-Quadratic Wire Lower Bounds for Depth-Two and Depth-Three Threshold Circuits,2015,,circuit-complexity; derandomization,ok,19,68132,AC0:2; E:4; NC1:2; NTIME:1; P:2; TC0:15,Error-Correcting Code:1; Majority:66; Parity:25; SAT:3,
arxiv:1512.07459,1512.07459,Reduction rules for the maximum parsimony distance on phylogenetic trees,2015,,descriptive-logic; parameterized,ok,5,63133,FPT:12; NP:3,,
arxiv:1602.03050,1602.03050,Complete Problems of Propositional Logic for the Exponential Hierarchy,2016,,structural,ok,27,67364,ATIME:8; DeltaP:2; E:30; EXP:3; EXPSPACE:4; NEXP:6; NP:3; P:45; PSPACE:3; PiP:8; SigmaP:23; coNEXP:1; coNP:1,QBF/TQBF:27,Random Oracle / Relativization:1
arxiv:1602.03332,1602.03332,"Polynomial Depth, Highness and Lowness for E",2016,,meta-complexity,ok,21,53075,AM:2; DTIME:2; E:44; EXP:22; E^E:2; MA:8; NP:27; RP:1; UP:10,Kolmogorov Complexity:15,P != NP:5
arxiv:1602.04353,1602.04353,The algebraic dichotomy conjecture for infinite domain Constraint Satisfaction Problems,2016,,descriptive-logic; quantum-complexity,ok,17,55491,BPP:4; NP:14,3SAT:3; CSP:55,
doi:10.4230/lipics.itcs.2017.24,1603.03757,Nondeterministic quantum communication complexity: the cyclic equality game and iterated matrix multiplication,2016,,algebraic-complexity; communication-complexity; quantum-complexity,ok,27,63699,NP:1; VNP:1; VP:2; VQP:1; Wk:1,Determinant:1; Equality:2; Matrix Multiplication:21,ETH:1; Log-Rank Conjecture:3
doi:10.1109/focs.2016.13,1604.02804,Zero-knowledge proof systems for QMA,2016,,interactive-proofs; quantum-complexity,ok,10,161391,IP:4; MA:1; NP:22; PP:1; QMA:60; QMA1:1,Error-Correcting Code:3; Graph Isomorphism:1; Local Hamiltonian:15; Parity:3,
arxiv:1605.00089,1605.00089,Dynamic Graph Stream Algorithms in $o(n)$ Space,2016,,query-complexity,ok,21,71094,AM:2,Matching:1; Max-Cut:1,
doi:10.1109/focs.2016.66,1605.01142,Separations in communication complexity using cheat sheets and information complexity,2016,,communication-complexity; query-complexity,ok,62,141038,IP:26,Equality:2; Forrelation:1; Inner Product:2; Majority:4; Search/Grover:1; Set Disjointness:12; Simon/Bernstein-Vazirani:1,
doi:10.4230/lipics.ccc.2016.32,1606.05050,Proof Complexity Lower Bounds from Algebraic Circuit Complexity,2016,,algebraic-complexity; circuit-complexity; proof-complexity,ok,105,293802,,Determinant:24; Hitting Set:8; Nisan-Wigderson:2; PIT:49; Permanent:12; Pigeonhole:2; SAT:1; Subset Sum:27,
arxiv:1607.03084,1607.03084,Kernel-based methods for bandit convex optimization,2016,,query-complexity,ok,40,125897,Wt:5,,
arxiv:1609.04342,1609.04342,A Tighter Relation between Sensitivity and Certificate Complexity,2016,,query-complexity,ok,17,34443,AM:2,Independent Set:1; Sensitivity/Block Sensitivity:24,Sensitivity Conjecture:5
doi:10.4230/lipics.itcs.2017.37,1610.08349,Multiplayer parallel repetition for expander games,2016,,hardness-of-approximation,ok,15,57823,P:97,,
doi:10.4230/lipics.ccc.2017.24,1611.05754,Separating quantum communication and approximate rank,2016,,circuit-complexity; communication-complexity; quantum-complexity,ok,51,116032,IP:19,Inner Product:6; Majority:1; Parity:1; Search/Grover:3; Set Disjointness:1,
doi:10.1145/3055399.3055401,1611.08946,Exponential Separation of Quantum Communication and Classical Information,2016,,communication-complexity; quantum-complexity,ok,42,113281,ACC:1,Index:3; Pointer Chasing:5; Set Disjointness:1,
doi:10.1038/s41467-017-00705-2,1701.05039,Efficient Representation of Quantum Many-body States with Deep Neural Networks,2017,,structural,ok,7,56008,NP:1; P:5; sharpP:10,Local Hamiltonian:4; Matrix Multiplication:3; Partition Function:1,P != NP:1; PH does not collapse:1
arxiv:1701.05328,1701.05328,Succinct Hitting Sets and Barriers to Proving Algebraic Circuits Lower Bounds,2017,,algebraic-complexity; circuit-complexity; derandomization; meta-complexity,ok,57,134865,EXP:1; NEXP:1; P:18; VNP:1,Determinant:9; Hitting Set:54; Matrix Multiplication:1; Nisan-Wigderson:3; PIT:12; Parity:1; SAT:1,One-Way Functions Exist:1; P != NP:3; Permanent vs Determinant:1
arxiv:1702.04067,1702.04067,Submodular Goal Value of Boolean Functions,2017,,query-complexity,ok,18,68548,,,
arxiv:1703.10840,1703.10840,Treewidth distance on phylogenetic trees,2017,,descriptive-logic; parameterized,ok,26,108669,FPT:8; NP:6,Clique:1,
arxiv:1704.01914,1704.01914,A Proof of the CSP Dichotomy Conjecture,2017,,descriptive-logic,ok,139,359122,NC:3; NP:15; Theta2P:1; coNP:2,CSP:132; Majority:1,
arxiv:1704.03928,1704.03928,On the Quantitative Hardness of CVP,2017,,fine-grained,ok,45,134927,NP:11; P:2; coNP:2; sharpP:4,3SAT:1; Determinant:6; Hitting Set:2; MAX-SAT:4; Matrix Multiplication:1; Max-Cut:4; SAT:6; SVP/CVP:172,ETH:31; Rich Verifier / Gap-ETH:9; SETH:38
arxiv:1706.03451,1706.03451,Constraint Satisfaction Problem Dichotomy for Finite Templates: a Proof Via Consistency Checks,2017,,descriptive-logic,ok,22,58431,NL:1; NP:10,3SAT:1; CSP:67; Graph Isomorphism:1,
doi:10.1109/focs.2017.12,1706.06407,Distributed PCP Theorems for Hardness of Approximation in P,2017,,fine-grained; hardness-of-approximation; interactive-proofs; query-complexity,ok,29,81412,IP:18; PCP:73,3SAT:3; Edit Distance:7; Error-Correcting Code:1; Graph Coloring:1; LCS:47; Label Cover:2; Learning Parity with Noise:1; Parity:1; SAT:1; Search/Grover:1; Set Disjointness:13,ETH:4; SETH:53
arxiv:1708.03486,1708.03486,On the Approximation Method and the P versus NP Problem,2017,,meta-complexity,ok,6,100056,NP:36,Clique:1; Matching:1; Matrix Multiplication:7; Sunflower:16,P != NP:11
doi:10.4230/lipics.ccc.2018.21,1709.01805,Complexity Classification of Conjugated Clifford Circuits,2017,,structural,ok,26,116000,BPP:9; BPP^NP:2; BQP:18; FBPP^NP:2; GapP:1; IQP:10; NP:1; P:22; PH:24; PP:16; sharpP:20,Determinant:1; Quantum Circuit Sampling:4,PH does not collapse:9; Random Oracle / Relativization:2
doi:10.1145/3188745.3188784,1710.09079,The Polynomial Method Strikes Back: Tight Quantum Query Bounds via Dual Polynomials,2017,,quantum-complexity; query-complexity,ok,75,197140,E:3,Collision/Element Distinctness:4; Majority:2; Search/Grover:1,
arxiv:1710.09806,1710.09806,"Minimum Circuit Size, Graph Isomorphism, and Related Problems",2017,,circuit-complexity; derandomization; interactive-proofs; meta-complexity,ok,32,134701,AC0:1; AM:3; BPP:15; NC0:1; NP:10; P:3; RP:7; SZK:14; ZPP:39; coAM:3; coNP:4; coRP:3,Error-Correcting Code:18; Graph Isomorphism:8; Group Isomorphism:1; Kolmogorov Complexity:1; MCSP:29; MKTP:138; Matrix Multiplication:1; Nisan-Wigderson:1,One-Way Functions Exist:1
doi:10.4230/lipics.itcs.2018.24,1711.08039,"Alternating minimization, scaling algorithms, and the null-cone problem from invariant theory",2017,,algebraic-complexity,ok,44,171430,AM:3; FPTAS:8; NP:7; SL:84; VNP:1; VP:1; coNP:2,Determinant:9; Graph Isomorphism:1; Matching:1; Max-Flow:1; Permanent:1; Word Problem:2,Permanent vs Determinant:2
doi:10.1145/3188745.3188840,1712.00942,(Gap/S)ETH Hardness of SVP,2017,,fine-grained,ok,38,120314,NP:10; P:20; coNP:1,SAT:12; SVP/CVP:149; Set Cover:7,ETH:36; Rich Verifier / Gap-ETH:27; SETH:17
doi:10.1109/focs.2018.00075,1801.03821,"Low-degree testing for quantum states, and a quantum entangled games PCP for QMA",2018,,quantum-complexity,ok,53,220506,BQP:1; MIP:3; MIPstar:11; NEXP:1; NP:4; PCP:26; QMA:30; QMA1:1; QP:4,CSP:6; Error-Correcting Code:16; Local Hamiltonian:20; Parity:1,
doi:10.23638/lmcs-15(1:4)2019,1802.09377,A Finite-Model-Theoretic View on Propositional Proof Complexity,2018,,descriptive-logic; proof-complexity,ok,55,237220,FP:12; NP:4,CSP:11; Graph Isomorphism:22; Matrix Multiplication:2; Model Checking:2; Pigeonhole:2; Reachability/STCON:6; SAT:3,P != NP:1
doi:10.1007/s00037-022-00231-8,1805.11139,Quantum generalizations of the polynomial hierarchy with applications to QMA(2),2018,,quantum-complexity; structural,ok,40,108599,BPP:8; BQP:67; CH:5; EXP:11; MA:16; NEXP:26; NEXP^NEXP^NEXP:1; NP:40; NP^BQP:1; NP^NP:2; NP^PP:2; P:1; PH:46; PP:46; PPP:18; PPP^PP:4; PSPACE:5; P^BQP:3; P^QMA:1; QCMA:77; QCMA^QCMA^QCMA:1; QCPH:44; QIP:4; QMA:65; QMA^QMA^QMA:1; sharpP:6,Local Hamiltonian:1; Majority:1; Parity:1; SAT:4,P != NP:3; PH does not collapse:4; Random Oracle / Relativization:1
doi:10.4086/toc.2017.v013a006,1806.06097,Arithmetic Circuits with Locally Low Algebraic Rank,2018,,algebraic-complexity; circuit-complexity,ok,31,92847,sharpP:1,Determinant:1; Hitting Set:8; Matrix Multiplication:1; Nisan-Wigderson:2; PIT:21,Cryptographic Assumptions:1
doi:10.4086/toc.2018.v014a009,1806.06290,Average-Case Lower Bounds and Satisfiability Algorithms for Small Threshold Circuits,2018,,circuit-complexity,ok,70,172250,AC0:2; ACC:1; E:58; sharpP:1,Error-Correcting Code:3; Independent Set:3; Inner Product:1; Kolmogorov Complexity:5; Majority:38; Parity:56; Set Disjointness:1,
doi:10.4086/toc.2023.v019a012,1807.06323,Near-Optimal Bootstrapping of Hitting Sets for Algebraic Models,2018,,algebraic-complexity; circuit-complexity; derandomization,ok,19,93095,E:1; IP:1; PSPACE:1; TC0:1; VNP:2,Hitting Set:102; PIT:29; Permanent:5,Cryptographic Assumptions:2
arxiv:1807.11419,1807.11419,High-dimensional estimation via sum-of-squares proofs,2018,,proof-complexity,ok,32,160147,NP:2,CSP:9; Clique:12; Graph Coloring:2; Independent Set:4; Knapsack:1; Majority:2; Planted Clique:5; Random k-SAT Refutation:3; SAT:1; Unique Games:1,Unique Games Conjecture:1
arxiv:1810.08873,1810.08873,Conflict complexity is lower bounded by block sensitivity,2018,,query-complexity,ok,2,21410,,Search/Grover:1; Sensitivity/Block Sensitivity:16,Sensitivity Conjecture:2
arxiv:1811.01351,1811.01351,Size-Degree Trade-Offs for Sums-of-Squares and Positivstellensatz Proofs,2018,,proof-complexity,ok,23,76011,NP:1,3SAT:7; CSP:5; Knapsack:6; MAX-SAT:5; Parity:1,
doi:10.1109/focs.2019.00063,1811.10525,Quantum Log-Approximate-Rank Conjecture is also False,2018,,communication-complexity; quantum-complexity,ok,44,67800,,Equality:4,
doi:10.4086/toc.2021.v017a002,1812.06952,Barriers for fast matrix multiplication from irreversibility,2018,,algebraic-complexity,ok,26,99526,,Matrix Multiplication:37,
arxiv:1812.09120,1812.09120,Lower bounds for text indexing with mismatches and differences,2018,,fine-grained,ok,37,99682,PCP:2,Edit Distance:60; Index:1; SAT:1,ETH:3; SETH:19
doi:10.1109/lics.2019.8785883,1901.04237,Topology is relevant (in a dichotomy conjecture for infinite-domain constraint satisfaction problems),2019,,descriptive-logic,ok,27,86419,BPP:5; NP:13; P:9,CSP:46; Label Cover:1; SAT:2,
doi:10.4230/lipics.ccc.2019.20,1902.07699,"Universality of EPR pairs in Entanglement-Assisted Communication Complexity, and the Communication Cost of State Conversion",2019,,communication-complexity; quantum-complexity,ok,29,107448,,,
doi:10.4230/lipics.ccc.2020.7,1904.08914,Quantum Lower Bounds for Approximate Counting via Laurent Polynomials,2019,,counting-complexity; quantum-complexity; query-complexity; structural,ok,32,166693,AM:7; BQP:1; L:2; MA:7; NP:3; PP:5; QMA:71; SZK:4,CSP:1; Collision/Element Distinctness:1; Search/Grover:6,
arxiv:1905.06394,1905.06394,Tight Kernel Query Complexity of Kernel Ridge Regression and Kernel $k$-means Clustering,2019,,query-complexity,ok,28,155933,E:2; NP:1,,
doi:10.1145/3313276.3316404,1906.08890,Exponential separation between shallow quantum circuits and unbounded fan-in shallow classical circuits,2019,,circuit-complexity,ok,55,160513,AC0:6; NC:3; NC0:3,Factoring/Discrete Log:1; Independent Set:1; Majority:6; Parity:170; Pigeonhole:64,
doi:10.1145/3357713.3384342,1907.08355,Data Structures Meet Cryptography: 3SUM with Preprocessing,2019,,average-case; fine-grained,ok,32,110713,DTIME:4; P:3,3SUM:106; APSP:1; Index:11; SAT:1; Set Disjointness:1,3SUM Conjecture:4; One-Way Functions Exist:1
doi:10.1137/1.9781611976465.45,1907.12119,A Fast Minimum Degree Algorithm and Matching Lower Bound,2019,,fine-grained,ok,25,60427,L:3; NP:2; P:3,Independent Set:1; Orthogonal Vectors:6,ETH:6; SETH:18
doi:10.1007/978-3-030-48516-0_19,1909.05828,Sublinear-Time Language Recognition and Decision by One-Dimensional Cellular Automata,2019,,structural,ok,25,67909,,,
arxiv:1909.06201,1909.06201,Topology is irrelevant (in a dichotomy conjecture for infinite domain constraint satisfaction problems),2019,,descriptive-logic; quantum-complexity,ok,32,120218,BPP:7; NP:19,3SAT:7; CSP:86,
