run_id,arm,sid,problem_id,label,split,model,difficulty_static,difficulty_measured,drift,drift_kind,drift_stale,guide,guess,guess_correct,verdict,proved,bound_class,bound_shape,bound_ensures,label_match,direction,degenerate,stub,declined,added_requires,gate_verify,gate_no_assume,gate_skeleton,gate_behaviour,gate_requires,requires_detail,code_identical,added_exec_lines,assumes,dafny_calls,tool_calls,wall_s,output_tokens,leak_attempts,attempts,agent_id,notes
pilot1,blind,378_20,378,O(n*m),strict,sonnet,2,1,False,,True,v1,O(n**2),False,proves,True,unclassified,BIG^1.00 + n^2.00,(BIG * n + BIG + 5) + BIG * (n + 1) * n + BIG * (n + 1) * (n + 1),False,,False,False,False,|pairs| == n,True,True,True,True,True,"ok: forall k :: 0 <= k < |pairs| ==> |pairs[k]| >= 2, ok: |pairs| == n",True,0,0,1,8,283.2,94675,0,1,a1411951,"Charged the seq-append (|lines|<=n) and Join (sum of line lengths, O(n) each) flatly as BIG*(n+1) per iteration / BIG*(n+1)^2 once; BIG is huge so it safely dominates the real O(1) map ops and IntToString cost too. Verified 5/5, 0 errors first try."
pilot1,blind,794_794,794,O(n),strict,sonnet,1,3,False,,True,v1,O(n**2),False,proves,True,O(n**2),L_data^2.00,20000 * |data| * |data| + 8100000 * |data| + 10,False,looser,False,False,False,forall k :: 0 <= k < |data| ==> data[k].0 <= 50 && data[k].2 <= 50,True,True,True,True,True,"ok: forall k :: 0 <= k < |data| ==> data[k].0 >= 2 && 0 <= data[k].1 < data[k].2, violated-generated-only: forall k :: 0 <= k < |data| ==> data[k].0 <= 50 && data[k].2 <= 50",False,5,0,4,19,718.5,5907,0,1,a71acc92,"Capped nn,x,y<=50 (description.md bounds) so per-test work is O(1); real driver is output:=output+JoinInts(..)+""\n"" inside the outer |data|-loop, each concat costing O(|output|), giving O(t^2). Bounded seq-append and Join costs via small lemmas (MulMonoRight, JoinBoundBy, IntToStringLen) to avoid no"
pilot1,labeled,1029_92,1029,O(n**2),strict,sonnet,2,1,False,,False,v1,,,proves,True,O(n**2),n^2.00,5 * n * n + 5 * n + 10,True,equal,False,False,False,,True,True,True,True,True,"ok: n >= 0, ok: |a_list| == n, ok: |b_list| == n, ok: forall k :: 0 <= k < n ==> a_list[k] >= 0, ok: forall k :: 0 <= k < n ==> b_list[k] >= 0",True,0,0,1,10,131.4,23993,0,1,a47a9f2f,"Nested loop, outer l in [0,n), inner r in [l,n). Charged BitOr calls as O(1) (arithmetic op per charging table, not a stepped helper). Isolated the n*(l+1)=n*l+n fact into MulDistribAdd1 to keep Z3 fast; verified immediately."
pilot1,labeled,1180_626,1180,O(n+m)log(n+m),strict,sonnet,2,2,False,,True,v2,,,gave_up,False,,,,,,False,False,True,,True,True,True,True,True,"ok: a >= 1, ok: b >= 0, ok: a <= |c_list|, ok: b <= |d_list|, unchecked: forall k :: 0 <= k < b ==> d_list[k] >= 1 && d_list[k] <= PrefixSum1180(c_list, a)",True,0,0,1,17,141.6,5819,0,2,"ab3814dc,ab8956e7","Two-pointer loop is honestly O(n+m); Sort(lst,...) is genuine merge sort, honestly O(m log m). But Solve ends with Join(lines, ""\n"") over m lines (|lst|==b==m), one bounded-length line per letter -- exactly the pattern GUIDE.md flags: Join has no honest charge (measured ~L^1.2 in output length, L=Th"
pilot1,labeled,1243_0,1243,O(nlogn+mlogm),strict,sonnet,1,1,True,sort-mismatch,False,v1,,,refutes,True,O(n+m),L_s1^1.00 + L_s2^1.00,2 * |s1| + 2 * |s2| + 3,False,tighter,False,False,False,,True,True,True,True,True,no requires clauses,True,0,0,1,7,101.3,17701,0,1,a42cc4d6,"Claimed O(nlogn+mlogm) reflects Python's sorted(); the Dafny translation instead uses multiset(s1)!=multiset(s2), a single built-in comparison charged its real O(|s1|+|s2|) cost, plus one linear scan. No sort is present anywhere, so the true cost is linear, not n log n."
pilot1,labeled,1332_16,1332,O(nlogn),loose,sonnet,4,2,False,,False,v1,,,gave_up,False,,,,,,False,True,False,,True,True,True,True,True,ok: n == |a_list|,True,0,0,0,2,220.8,55585,0,1,af676393,
pilot1,labeled,1338_61,1338,O(n*m),loose,sonnet,2,4,False,,False,v1,,,refutes,False,,,,,,False,False,False,,True,True,True,True,True,no requires clauses,False,2,0,6,22,847.5,55585,0,1,af676393,"Claimed O(n*m); real cost is quadratic in n, not linear. Per query: ReverseSeq recurses as ReverseSeq(s[1..]) + [s[0]], so its own concat chain costs Theta(n^2), charged twice per query. The removal loop runs up to n times, each doing a FindMinIndex scan and a RemoveAt slice-concat, both O(|ai|) <= "
pilot1,labeled,1563_497,1563,O(nlogn),strict,sonnet,3,1,False,,False,v1,,,refutes,True,O(n**2),L_values^2.00,|values| * |values| + |values| + 10,False,looser,False,False,False,,True,True,True,True,True,ok: forall k :: 0 <= k < |values| ==> values[k] != 0,True,0,0,1,6,62.6,55585,0,1,af676393,"prelude.dfy's Merge builds the result as [x] + Merge(rest, ...): each recursive level's concat costs the current combined length (the 's+t' row), and combined length drops by only 1 per level, so one Merge call over k elements costs Theta(k^2), not Theta(k). Summed across Sort's O(log n) merge level"
pilot1,labeled,1718_1166,1718,O(n*m),strict,sonnet,3,3,False,,False,v1,,,refutes,True,O(n**2+m**2),N1^2.00 + N2^2.00,2 * N1 * N1 + 2 * N2 * N2 + 4 * N1 + 2 * N2 + 4,False,same-rank,False,False,False,N1 == |list1|; N2 == |list2|,True,True,True,True,True,"ok: 0 <= N1 <= |list1|, ok: 0 <= N2 <= |list2|, ok: N1 == |list1|, ok: N2 == |list2|",True,0,0,6,17,832.5,17701,0,1,a42cc4d6,"Claimed O(n*m) ignores the two SortInts merge-sort calls, charged honestly as k*CeilLog2(k)+k. n log n is not O(n*m) in the strict two-variable sense (fix m small, let n grow), so the claim is false. Proved true bound in n^2+m^2 shape instead, which safely dominates both the sort terms and the O(n*m"
pilot1,labeled,1733_64,1733,O(n**2),loose,sonnet,2,4,False,,True,v1,,,gave_up,False,unclassified,a^3.00,1 + 15 * (a + 1) * (a + 1) * (a + 1),,,False,False,False,,False,True,True,True,True,ok: |b_list| == a,False,2,0,4,17,1054.3,51785,0,1,a7386614,Not yet attempted.
pilot1,labeled,1827_44,1827,O(n**2),loose,sonnet,3,1,False,,True,v1,,,proves,True,O(n**2),a^2.00 + b^1.00,a * a + 10 * a + 10 * b + 40,True,equal,False,False,False,b >= 1 (problem states 1<=limit; only used to keep the log-loop bound clean),True,True,True,True,True,"ok: a >= 0, violated-python-also-fails: b >= 1",True,0,0,3,13,549.0,24703,0,1,aeacbd65,"Real quadratic cost comes from S:=S+[x] (uncharged seq append) inside nested loop; charged as cnt (ghost mirror of |S|) per append, cnt<=a via ss+cnt<=a invariant. SquareMono/MulMonoRight lemmas isolate the one nonlinear step. Used a ghost int cnt instead of |S| directly in the quadratic invariant -"
pilot1,labeled,1915_158,1915,O(n+m),loose,sonnet,2,1,False,,False,v1,,,proves,True,O(n+m),m^1.00 + n^1.00,3 * n + 2 * m + 20,True,equal,False,False,False,,True,True,True,True,True,"ok: n >= 2, ok: m >= 0, ok: |n_list| >= n, ok: |m_list| >= m, ok: forall t :: 0 <= t < |m_list| ==> m_list[t] >= 1",True,0,0,1,8,192.9,24703,0,1,aeacbd65,"Charged GcdNN and IntToString/Join calls as O(1) primitives (bounded-magnitude values per problem statement, not modeled internally). Loop1 (n-2 iters, 3/iter) + loop2 (<=m iters, 2/iter) + O(1) output build. Claim confirmed."
pilot1,labeled,2269_21,2269,O(n**2),strict,sonnet,3,2,False,,False,v1,,,gave_up,False,,,,,,False,True,False,,True,True,True,True,True,no requires clauses,True,0,0,0,2,147.5,23993,0,1,a47a9f2f,
pilot1,labeled,2281_358,2281,O(n+mlogm),strict,sonnet,2,1,True,sort-mismatch,False,v1,,,refutes,True,O(n),n^1.00,3 * n + 3,False,tighter,False,False,False,n >= 1,True,True,True,True,True,"ok: n >= 1, ok: n <= |a_list|",True,0,0,2,8,63.8,23993,0,1,a47a9f2f,"Claimed O(n+mlogm) but Solve takes only n and a_list -- single pass, no sort, no second array. Real cost is O(n). Added n>=1 (stated 1<=n<=10^5 in problem) only to fix loop invariant 0<=i<=n at entry."
pilot1,labeled,2381_176,2381,O(n),strict,sonnet,2,1,False,,False,v1,,,proves,True,O(n),n^1.00,n + 3,True,equal,False,False,False,n >= 1,True,True,True,True,True,ok: n >= 1,True,0,0,1,5,104.4,55585,0,1,af676393,"Key fact: reading x's binary digits as a base-10 number never decreases the value (BinAsDecimal(x) >= x for x >= 1), proved by a one-line induction lemma. Combined with the loop guard BinAsDecimal(ans) <= n, this pins ans <= n+1 throughout, so the trip count (and steps) is at most n+1. Added require"
pilot1,labeled,2465_212,2465,O(nlogn),loose,sonnet,4,3,False,,False,v1,,,gave_up,False,O(n**2),t^2.00,0x50000000 * t * t + 0x50000000,,looser,False,False,False,,False,True,False,False,True,"ok: t >= 1, ok: |n_list| == t, ok: forall v :: v in n_list ==> 0 <= v < 0x40000000",,,0,3,15,686.4,39454,0,1,ac4d522e,
pilot1,labeled,2496_30,2496,O(nlogn),loose,sonnet,4,2,False,,False,v1,,,proves,True,unclassified,n^1.06,4 * (n + 1) * (CeilLog2(n) + 1) + 20 * n + 5030,False,,False,False,False,,True,True,True,True,True,ok: |a_list| == n,True,0,0,5,17,592.7,24703,0,1,aeacbd65,"Sort/Merge are pure prelude functions with no steps param, so charged the call via a from-scratch recursion-tree bound (SortCost mirrors Sort's n/2,n-n/2 split + linear merge, proved <= 4*(n+1)*(CeilLog2(n)+1) by induction using CeilLog2Bound/Mono and isolated MulMonoRight/DistribAdd lemmas -- monol"
pilot1,labeled,2650_140,2650,O(nlogn),strict,sonnet,4,4,False,,True,v1,,,refutes,True,O(n**2),n^2.00,4 * n * n + 15 * n + 16,False,looser,False,False,False,,True,True,True,True,True,"ok: n == |a_list|, ok: n >= 1",True,0,0,20,98,2201.2,74827,0,2,"a42cc4d6,a4ed616b","Claimed O(nlogn) accounts only for the sort+binary-search prefix. Two real O(n^2) sources: seq2 built via seq2+[x] (real cost |seq2| per append, table-charged, summing to n(n+1)/2), and the pref/suf double loop (outer n+1 times, inner up to n each) which is O(n^2) even at unit cost per iteration -- "
pilot1,labeled,2704_92,2704,O(n**2),strict,sonnet,3,3,True,append-in-loop,False,v1,,,proves,True,O(n**2),n^2.00,100000 * n * n + 200000,True,equal,False,False,False,forall k :: 0 <= k < |names| ==> 1 <= |names[k]| <= 20,True,True,True,True,True,"ok: n == |names|, ok: forall k :: 0 <= k < |names| ==> 1 <= |names[k]| <= 20",False,5,0,6,22,804.6,39454,0,1,ac4d522e,"Length cap (problem states 1<=|word|<=20) folds Reduce+expand cost per word into a constant; dominant term is the classic seq-append-in-a-loop (result + [str4], cost |result|) plus inner membership scan (|result| comparisons), both summing to O(n^2) over n words. Replaced Reduce's `decreases *` with"
pilot1,labeled,2962_1209,2962,O(n**2+m**2),strict,sonnet,2,1,False,,False,v1,,,proves,True,O(n**2+m**2),L_first_name^2.00 + L_second_name^2.00,2 * (|first_name| + |second_name|) * (|first_name| + |second_name|),True,equal,False,False,False,,True,True,True,True,True,no requires clauses,False,2,0,1,5,111.1,17701,0,1,a42cc4d6,"Bound is in (n+m)^2 form; (n+m)^2 <= 2(n^2+m^2) so this is the same class as claimed. Outer loop runs n+m times, each iteration does two O(n+m) count scans."
pilot1,labeled,354_95,354,O(n),strict,sonnet,2,1,False,,False,v1,,,proves,True,O(n),a^1.00,16 * a + 10,True,equal,False,False,False,,True,True,True,True,True,ok: a >= 1,True,0,0,1,8,183.8,39454,0,1,ac4d522e,"Key fact: invariant matchesCount == a - nn telescopes; sum of Log2Floor's power over iterations <= a, so total Log2Floor cost is O(a) not O(a log a). Charged Log2Floor's own loop (ghost steps, steps<=2k+2). Output-format concat/IntToString charged as O(1) flat, not instrumented (single one-time call"
pilot1,labeled,378_20,378,O(n*m),strict,sonnet,2,1,False,,True,v1,,,refutes,True,O(n**2),L_pairs^2.00,|pairs| * |pairs| + 20 * |pairs| + 20,False,same-rank,False,False,False,,True,True,True,True,True,ok: forall k :: 0 <= k < |pairs| ==> |pairs[k]| >= 2,True,0,0,1,6,99.7,24703,0,1,aeacbd65,"Claimed O(n*m) but Solve has no m at all. Second loop does lines:=lines+[str], an uncharged seq append costing |lines|==idx per call, giving real quadratic cost. Charged map ops, ParseInt, IntToString as O(1) (bounded-magnitude values)."
pilot1,labeled,794_794,794,O(n),strict,sonnet,1,3,False,,True,v1,,,refutes,True,O(n**2),L_data^2.00,2000 * |data| * |data| + 6000 * |data| + 1,False,looser,False,False,False,data[k].0 <= 50; data[k].2 <= 50,True,True,True,True,True,violated-generated-only: forall k :: 0 <= k < |data| ==> data[k].0 >= 2 && data[k].0 <= 50 && 0 <= data[k].1 < data[k].2 && data[k].2 <= 50,True,0,0,4,22,1639.7,48153,0,1,ad2a9236,"Claimed O(n); real charged cost is O(|data|^2). `output := output + JoinInts(vals,"" "") + ""\n""` sits inside the per-test-case loop and charges |output|, which grows every test case (string-builder-in-a-loop). Every per-test-case value (arr/vals lengths, digit widths) is O(1) given n<=50,x<y<=50 from "
